QTD_Bytes,Distancia_m,Tempo_ms,QTD_Paredes,INT_WIFI,INT_WIFI-Mesmo_Canal,INT_WIFI-Proximo,INT_BT,INT_BT-Proximo,INT_MICROONDAS,INT_MICROONDAS-Proximo,INT_FURADEIRA,INT_FURADEIRA-Proximo
128,0,302.6666666666667,0,1,SAME,SERVER,0,,0,,0,
256,0,327.0,0,1,SAME,SERVER,0,,0,,0,
384,0,328.6666666666667,0,1,SAME,SERVER,0,,0,,0,
512,0,305.0,0,1,SAME,SERVER,0,,0,,0,
640,0,360.0,0,1,SAME,SERVER,0,,0,,0,
768,0,316.6666666666667,0,1,SAME,SERVER,0,,0,,0,
896,0,373.0,0,1,SAME,SERVER,0,,0,,0,
1024,0,347.3333333333333,0,1,SAME,SERVER,0,,0,,0,
1152,0,361.6666666666667,0,1,SAME,SERVER,0,,0,,0,
1280,0,378.6666666666667,0,1,SAME,SERVER,0,,0,,0,
1408,0,362.3333333333333,0,1,SAME,SERVER,0,,0,,0,
1536,0,348.0,0,1,SAME,SERVER,0,,0,,0,
1664,0,373.3333333333333,0,1,SAME,SERVER,0,,0,,0,
1792,0,368.6666666666667,0,1,SAME,SERVER,0,,0,,0,
1920,0,324.0,0,1,SAME,SERVER,0,,0,,0,
2048,0,343.0,0,1,SAME,SERVER,0,,0,,0,
2176,0,341.0,0,1,SAME,SERVER,0,,0,,0,
2304,0,360.3333333333333,0,1,SAME,SERVER,0,,0,,0,
2432,0,329.0,0,1,SAME,SERVER,0,,0,,0,
2560,0,356.3333333333333,0,1,SAME,SERVER,0,,0,,0,
2688,0,351.0,0,1,SAME,SERVER,0,,0,,0,
2816,0,348.6666666666667,0,1,SAME,SERVER,0,,0,,0,
2944,0,373.0,0,1,SAME,SERVER,0,,0,,0,
3072,0,358.0,0,1,SAME,SERVER,0,,0,,0,
3200,0,391.0,0,1,SAME,SERVER,0,,0,,0,
3328,0,363.0,0,1,SAME,SERVER,0,,0,,0,
3456,0,377.0,0,1,SAME,SERVER,0,,0,,0,
3584,0,321.0,0,1,SAME,SERVER,0,,0,,0,
3712,0,372.6666666666667,0,1,SAME,SERVER,0,,0,,0,
3840,0,359.6666666666667,0,1,SAME,SERVER,0,,0,,0,
